USDC, 0.12250655, 0.06470991019916618, 0.0041873724779841505, 0.03786591, 0.21634916, 167, 1875.03, 1615650114
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 167, 1875.03, 1615650114
StableCoins, 0.148605835, 0.08496504223521606, 0.0072190584020320496, 0.02411939, 0.29420205, 167, 1875.03, 1615650114
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 160, 1874.03, 1615650149
USDC, 0.12250655, 0.06470991019916618, 0.0041873724779841505, 0.03786591, 0.21634916, 167, 1874.03, 1615650149
StableCoins, 0.148605835, 0.08496504223521606, 0.0072190584020320496, 0.02411939, 0.29420205, 160, 1874.03, 1615650149
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 160, 1874.03, 1615650149
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 160, 1872.62, 1615650207
USDC, 0.12250655, 0.06470991019916618, 0.0041873724779841505, 0.03786591, 0.21634916, 160, 1872.62, 1615650207
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 160, 1872.62, 1615650207
StableCoins, 0.148605835, 0.08496504223521606, 0.0072190584020320496, 0.02411939, 0.29420205, 160, 1872.62, 1615650207
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 168, 1872.62, 1615650277
USDC, 0.12250655, 0.06470991019916618, 0.0041873724779841505, 0.03786591, 0.21634916, 160, 1872.62, 1615650277
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 168, 1872.62, 1615650277
StableCoins, 0.148605835, 0.08496504223521606, 0.0072190584020320496, 0.02411939, 0.29420205, 168, 1872.62, 1615650277
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 160, 1871.61, 1615650403
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 160, 1871.61, 1615650403
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 160, 1871.61, 1615650403
StableCoins, 0.14860586, 0.08496500965129807, 0.0072190528650451745, 0.02411939, 0.29420205, 160, 1871.61, 1615650403
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 160, 1871.66, 1615650419
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 160, 1871.66, 1615650419
StableCoins, 0.14860586, 0.08496500965129807, 0.0072190528650451745, 0.02411939, 0.29420205, 160, 1871.66, 1615650419
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 160, 1871.66, 1615650419
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 168, 1871.58, 1615650462
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 168, 1871.58, 1615650462
StableCoins, 0.14860586, 0.08496500965129807, 0.0072190528650451745, 0.02411939, 0.29420205, 168, 1871.58, 1615650462
USDT, 0.09279332333333333, 0.0862338860109158, 0.007436283096543621, 0.02411939, 0.21440768, 168, 1871.58, 1615650462
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 158, 1872.26, 1615650518
USDT, 0.09279768999999999, 0.08623120542074893, 0.007435820788315399, 0.02411939, 0.21440768, 158, 1872.26, 1615650518
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 168, 1872.26, 1615650518
StableCoins, 0.14860667875, 0.08496396172571313, 0.007218874792128447, 0.02411939, 0.29420205, 168, 1872.26, 1615650518
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 167, 1872.29, 1615650584
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 158, 1872.29, 1615650584
StableCoins, 0.148606738125, 0.08496388573520945, 0.007218861879225729, 0.02411939, 0.29420205, 158, 1872.29, 1615650584
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 167, 1872.29, 1615650584
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 158, 1872.39, 1615650637
DAI, 0.1702501775, 0.06235004673881743, 0.003887528328332718, 0.09189718, 0.2625143, 167, 1872.39, 1615650637
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 167, 1872.39, 1615650637
StableCoins, 0.148606738125, 0.08496388573520945, 0.007218861879225729, 0.02411939, 0.29420205, 167, 1872.39, 1615650637
DAI, 0.1702495275, 0.06235086357458867, 0.0038876301884969676, 0.09189458, 0.2625143, 167, 1873.55, 1615650714
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 168, 1873.55, 1615650714
USDC, 0.12250665000000001, 0.06470977939914609, 0.004187355549886151, 0.03786631, 0.21634916, 167, 1873.55, 1615650714
StableCoins, 0.148606575625, 0.08496399419888528, 0.007218880310228212, 0.02411939, 0.29420205, 168, 1873.55, 1615650714
DAI, 0.1702495275, 0.06235086357458867, 0.0038876301884969676, 0.09189458, 0.2625143, 162, 1875.2, 1615650779
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 162, 1875.2, 1615650779
StableCoins, 0.14867061, 0.08492674525501441, 0.0072125520596101125, 0.02411939, 0.29420205, 162, 1875.2, 1615650779
USDC, 0.1227627875, 0.06461705411111776, 0.00417536368199912, 0.03786631, 0.21634916, 158, 1875.2, 1615650779
DAI, 0.1702495275, 0.06235086357458867, 0.0038876301884969676, 0.09189458, 0.2625143, 158, 1874.41, 1615650821
USDC, 0.1227627875, 0.06461705411111776, 0.00417536368199912, 0.03786631, 0.21634916, 158, 1874.41, 1615650821
StableCoins, 0.14867061, 0.08492674525501441, 0.0072125520596101125, 0.02411939, 0.29420205, 158, 1874.41, 1615650821
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 158, 1874.41, 1615650821
DAI, 0.1702494275, 0.062350989242484896, 0.0038876458595164675, 0.09189418, 0.2625143, 170, 1874.5, 1615650866
USDC, 0.1227627875, 0.06461705411111776, 0.00417536368199912, 0.03786631, 0.21634916, 170, 1874.5, 1615650866
StableCoins, 0.148670585, 0.08492676196830412, 0.007212554898420987, 0.02411939, 0.29420205, 170, 1874.5, 1615650866
USDT, 0.09279800666666665, 0.08623101104076357, 0.007435787265112288, 0.02411939, 0.21440768, 170, 1874.5, 1615650866
DAI, 0.1702494275, 0.062350989242484896, 0.0038876458595164675, 0.09189418, 0.2625143, 170, 1874.09, 1615650935
USDC, 0.1227627875, 0.06461705411111776, 0.00417536368199912, 0.03786631, 0.21634916, 161, 1874.09, 1615650935
StableCoins, 0.14867132875, 0.08492580915900293, 0.007212393061311386, 0.02411939, 0.29420205, 170, 1874.09, 1615650935
USDT, 0.09280197333333333, 0.08622857633560324, 0.007435367376864954, 0.02411939, 0.21440768, 161, 1874.09, 1615650935
DAI, 0.1702494275, 0.062350989242484896, 0.0038876458595164675, 0.09189418, 0.2625143, 170, 1874.09, 1615651059
USDC, 0.12278805500000001, 0.06460845328889267, 0.004174252236383026, 0.03786469, 0.21634916, 162, 1874.09, 1615651059
USDT, 0.09280197333333333, 0.08622857633560324, 0.007435367376864954, 0.02411939, 0.21440768, 162, 1874.09, 1615651059
StableCoins, 0.148677645625, 0.08492224677658423, 0.0072117879975830725, 0.02411939, 0.29420205, 162, 1874.09, 1615651059
DAI, 0.1702494275, 0.062350989242484896, 0.0038876458595164675, 0.09189418, 0.2625143, 170, 1874.09, 1615651107
USDC, 0.12278805000000001, 0.06460845986104878, 0.004174253085616751, 0.03786467, 0.21634916, 170, 1874.09, 1615651107
USDT, 0.09280197333333333, 0.08622857633560324, 0.007435367376864954, 0.02411939, 0.21440768, 170, 1874.09, 1615651107
StableCoins, 0.148677644375, 0.0849222484076787, 0.007211788274615487, 0.02411939, 0.29420205, 164, 1874.09, 1615651107
DAI, 0.1702494275, 0.062350989242484896, 0.0038876458595164675, 0.09189418, 0.2625143, 164, 1873.29, 1615651147
USDC, 0.12278805000000001, 0.06460845986104878, 0.004174253085616751, 0.03786467, 0.21634916, 170, 1873.29, 1615651147
StableCoins, 0.148677644375, 0.0849222484076787, 0.007211788274615487, 0.02411939, 0.29420205, 164, 1873.29, 1615651147
USDT, 0.09280197333333333, 0.08622857633560324, 0.007435367376864954, 0.02411939, 0.21440768, 164, 1873.29, 1615651147
