CreamFi-V1, BUSD, 1614916748, 0.18556256, 2562109, 0.66225044
Aave-V2, GUSD, 1614916748, 0.03959449, 6601892, 0.79016056
Aave-V2, TUSD, 1614916748, 0.12024341, 16714391, 0.82015208
CreamFi-V1, USDC, 1614916748, 0.21735774, 19767719, 0.78943097
Aave-V2, DAI, 1614916787, 0.03907688, 105578027, 0.77987703
DyDx-V1, DAI, 1614916787, 0.16127062, 78103319, 0.80536886
Compound-V2, DAI, 1614916787, 0.09698801, 2553109096, 0.85228258
Aave-V2, USDC, 1614916787, 0.03756472, 268936637, 0.84427627
Compound-V2, USDC, 1614916787, 0.07183867, 2029464725, 0.82920979
CreamFi-V1, DAI, 1614916787, 0.19763956, 8523719, 0.71055822
CreamFi-V1, USDC, 1614916787, 0.21735774, 19767719, 0.78943097
Aave-V2, SUSD, 1614916787, 0.9464313, 6325363, 0.98084074
Aave-V2, USDT, 1614916787, 0.03613899, 125942700, 0.8116729
DyDx-V1, USDC, 1614916787, 0.13895887, 0, Infinity
Compound-V2, USDT, 1614916787, 0.07068755, 320859608, 0.82815371
Aave-V2, TUSD, 1614916787, 0.12024341, 16714391, 0.82015208
Aave-V2, BUSD, 1614916787, 0.09813108, 12056666, 0.80821394
CreamFi-V1, BUSD, 1614916787, 0.18556256, 2562109, 0.66225044
CreamFi-V1, USDT, 1614916787, 0.305401, 6935721, 0.81708026
Aave-V2, GUSD, 1614916787, 0.03959449, 6601892, 0.79016056
Aave-V2, DAI, 1614916847, 0.03907688, 105578027, 0.77987703
Compound-V2, DAI, 1614916847, 0.09698801, 2553109096, 0.85228258
DyDx-V1, DAI, 1614916847, 0.16127062, 78103336, 0.80536891
Aave-V2, USDC, 1614916847, 0.03756472, 268936637, 0.84427627
CreamFi-V1, DAI, 1614916847, 0.19763956, 8523719, 0.71055822
DyDx-V1, USDC, 1614916847, 0.13895887, 0, Infinity
CreamFi-V1, USDC, 1614916847, 0.21735774, 19767719, 0.78943097
Compound-V2, USDT, 1614916847, 0.07068787, 320860246, 0.82815401
Aave-V2, SUSD, 1614916847, 0.9464313, 6325363, 0.98084074
Aave-V2, USDT, 1614916847, 0.03613899, 125942700, 0.8116729
Aave-V2, BUSD, 1614916847, 0.09813108, 12056666, 0.80821394
Compound-V2, USDC, 1614916847, 0.07160931, 2033772762, 0.82899937
CreamFi-V1, BUSD, 1614916847, 0.18556256, 2562109, 0.66225044
Aave-V2, GUSD, 1614916847, 0.03959449, 6601892, 0.79016056
CreamFi-V1, USDT, 1614916847, 0.305401, 6935721, 0.81708026
Aave-V2, TUSD, 1614916847, 0.12024341, 16714391, 0.82015208
Aave-V2, DAI, 1614916873, 0.03907688, 105578027, 0.77987703
Compound-V2, DAI, 1614916873, 0.09698801, 2553109096, 0.85228258
DyDx-V1, DAI, 1614916873, 0.16127062, 78103364, 0.805369
Aave-V2, USDC, 1614916873, 0.03756472, 268936637, 0.84427627
CreamFi-V1, DAI, 1614916873, 0.19763956, 8523719, 0.71055822
Compound-V2, USDC, 1614916873, 0.07160934, 2033772991, 0.82899939
DyDx-V1, USDC, 1614916873, 0.13895887, 0, Infinity
Aave-V2, SUSD, 1614916873, 0.9464313, 6325363, 0.98084074
Aave-V2, USDT, 1614916873, 0.03613899, 125942700, 0.8116729
Aave-V2, TUSD, 1614916873, 0.12024341, 16714391, 0.82015208
CreamFi-V1, BUSD, 1614916873, 0.18556256, 2562109, 0.66225044
Aave-V2, GUSD, 1614916873, 0.03959449, 6601892, 0.79016056
Aave-V2, BUSD, 1614916873, 0.09813108, 12056666, 0.80821394
Compound-V2, USDT, 1614916873, 0.07068787, 320860246, 0.82815401
CreamFi-V1, USDT, 1614916873, 0.305401, 6935721, 0.81708026
CreamFi-V1, USDC, 1614916873, 0.21735774, 19767719, 0.78943097
CreamFi-V1, DAI, 1614917012, 0.19763956, 8523719, 0.71055822
DyDx-V1, DAI, 1614917012, 0.16127081, 78103309, 0.80536979
Aave-V2, USDC, 1614917012, 0.03756472, 268936637, 0.84427627
Aave-V2, DAI, 1614917012, 0.03907688, 105578027, 0.77987703
